ticket_id,account_id,created_date,raw_text,true_category,true_severity
TK100000,ACC100000,2026-05-10,"Admin role can't grant entitlements after the latest update. High priority, please escalate.",Access/Permissions,High
TK100001,ACC100000,2026-05-19,MFA lockout is blocking half our desk this morning. We cannot operate until this is resolved.,Access/Permissions,Critical
TK100002,ACC100000,2026-06-21,Billing shows Enterprise tier but we're on Growth. Not urgent but it keeps recurring.,Billing,Medium
TK100003,ACC100001,2026-06-28,Admin role can't grant entitlements after the latest update. It's affecting multiple users right now.,Access/Permissions,High
TK100004,ACC100001,2026-06-09,Webhook events stopped firing after we rotated our API keys. Production is down for us — critical impact.,API/Integration,Critical
TK100005,ACC100001,2026-06-25,"The daily P&L export is missing columns since the last release. Moderate impact, we'd like this fixed soon. Second time reporting this.",Reporting,Medium
TK100006,ACC100001,2026-06-06,New user setup is confusing — we can't complete account configuration. Not urgent but it keeps recurring.,Onboarding,Medium
TK100007,ACC100001,2026-07-15,Exported report totals don't tie out to the dashboard figures. This is seriously impacting our desk today.,Reporting,High
TK100008,ACC100001,2026-07-12,"Admin role can't grant entitlements after the latest update. Moderate impact, we'd like this fixed soon. Any update would help.",Access/Permissions,Medium
TK100009,ACC100002,2026-05-19,Reconciliation break between our ledger and your settlement report for 18/06. Not urgent but it keeps recurring. Happy to jump on a call.,Reconciliation,Medium
TK100010,ACC100002,2026-06-21,Latency spikes make the blotter unusable at peak hours. Not urgent but it keeps recurring. This is impacting our team.,Performance,Medium
TK100011,ACC100002,2026-05-17,Billing shows Enterprise tier but we're on Growth. This is seriously impacting our desk today. Any update would help.,Billing,High
TK100012,ACC100003,2026-06-15,Latency spikes make the blotter unusable at peak hours. Disrupting our workflow but we have a workaround. This is impacting our team.,Performance,Medium
TK100013,ACC100004,2026-07-02,"Reconciliation break between our ledger and your settlement report for 19/06. Moderate impact, we'd like this fixed soon.",Reconciliation,Medium
TK100014,ACC100005,2026-04-20,"New user setup is confusing — we can't complete account configuration. Moderate impact, we'd like this fixed soon. Second time reporting this.",Onboarding,Medium
TK100015,ACC100005,2026-04-19,"Reconciliation break between our ledger and your settlement report for 10/10. Minor issue, low priority.",Reconciliation,Low
TK100016,ACC100006,2026-07-04,"MFA lockout is blocking half our desk this morning. Moderate impact, we'd like this fixed soon.",Access/Permissions,Medium
TK100017,ACC100006,2026-05-08,Settlement instruction was rejected with no clear reason. We cannot operate until this is resolved. Please advise urgently.,Settlement,Critical
TK100018,ACC100006,2026-05-08,"New user setup is confusing — we can't complete account configuration. Moderate impact, we'd like this fixed soon. Please advise urgently.",Onboarding,Medium
TK100019,ACC100006,2026-05-24,End-of-day balances don't match after recon — we're off by $594k. This is seriously impacting our desk today. This is impacting our team.,Reconciliation,High
TK100020,ACC100006,2026-07-02,Several settlements missed the cutoff window yesterday. Disrupting our workflow but we have a workaround. Please advise urgently.,Settlement,Medium
TK100021,ACC100006,2026-04-22,"The REST API rate limit is blocking our overnight batch sync. Moderate impact, we'd like this fixed soon. Any update would help.",API/Integration,Medium
TK100022,ACC100007,2026-06-20,Latency spikes make the blotter unusable at peak hours. It's affecting multiple users right now. Any update would help.,Performance,High
TK100023,ACC100007,2026-05-16,"This month's invoice double-charged us for seats we removed. Minor issue, low priority. Happy to jump on a call.",Billing,Low
TK100024,ACC100007,2026-04-19,"Several settlements missed the cutoff window yesterday. High priority, please escalate.",Settlement,High
TK100025,ACC100009,2026-06-17,Reconciliation break between our ledger and your settlement report for 15/05. It's affecting multiple users right now.,Reconciliation,High
TK100026,ACC100009,2026-05-29,"Filters reset every time we change tabs, it's frustrating. Disrupting our workflow but we have a workaround. This is impacting our team.",UI/Usability,Medium
TK100027,ACC100009,2026-04-26,Our API integration returns 500 errors on the positions endpoint. No rush on this one. This is impacting our team.,API/Integration,Low
TK100028,ACC100010,2026-05-10,Our API integration returns 500 errors on the positions endpoint. It's affecting multiple users right now. Please advise urgently.,API/Integration,High
TK100029,ACC100011,2026-07-02,Several settlements missed the cutoff window yesterday. Not urgent but it keeps recurring.,Settlement,Medium
TK100030,ACC100011,2026-06-17,Several settlements missed the cutoff window yesterday. It's affecting multiple users right now.,Settlement,High
TK100031,ACC100011,2026-05-16,The REST API rate limit is blocking our overnight batch sync. This is blocking all trading and needs an urgent fix. Please advise urgently.,API/Integration,Critical
TK100032,ACC100011,2026-07-13,Recon job flagged 17 unmatched trades again this morning. It's affecting multiple users right now.,Reconciliation,High
TK100033,ACC100012,2026-06-18,MFA lockout is blocking half our desk this morning. Production is down for us — critical impact.,Access/Permissions,Critical
TK100034,ACC100012,2026-05-23,"Our API integration returns 500 errors on the positions endpoint. Moderate impact, we'd like this fixed soon. Please advise urgently.",API/Integration,Medium
TK100035,ACC100013,2026-05-23,Query performance has degraded badly this week. We cannot operate until this is resolved. This is impacting our team.,Performance,Critical
TK100036,ACC100013,2026-06-20,"FX rates in the app don't match our custodian's rates. Moderate impact, we'd like this fixed soon. Please advise urgently.",Data Accuracy,Medium
TK100037,ACC100013,2026-05-22,MFA lockout is blocking half our desk this morning. We cannot operate until this is resolved.,Access/Permissions,Critical
TK100038,ACC100013,2026-05-29,Exported report totals don't tie out to the dashboard figures. This is seriously impacting our desk today. Any update would help.,Reporting,High
TK100039,ACC100014,2026-05-23,Trade TRD89346 failed to settle and is stuck in pending status. This is seriously impacting our desk today. Any update would help.,Settlement,High
TK100040,ACC100014,2026-07-01,"Reconciliation break between our ledger and your settlement report for 09/11. Moderate impact, we'd like this fixed soon. This is impacting our team.",Reconciliation,Medium
TK100041,ACC100014,2026-07-11,Reconciliation break between our ledger and your settlement report for 15/01. This is blocking all trading and needs an urgent fix.,Reconciliation,Critical
TK100042,ACC100014,2026-05-05,Latency spikes make the blotter unusable at peak hours. Not urgent but it keeps recurring.,Performance,Medium
TK100043,ACC100014,2026-06-08,Recon job flagged 11 unmatched trades again this morning. Production is down for us — critical impact.,Reconciliation,Critical
TK100044,ACC100014,2026-06-09,Recon job flagged 5 unmatched trades again this morning. This is seriously impacting our desk today. Please advise urgently.,Reconciliation,High
TK100045,ACC100015,2026-05-06,Recon job flagged 39 unmatched trades again this morning. Not urgent but it keeps recurring. Happy to jump on a call.,Reconciliation,Medium
TK100046,ACC100015,2026-05-01,Data migration during onboarding dropped several historical trades. No rush on this one.,Onboarding,Low
