ticket_id,account_id,created_date,pred_category,pred_severity,sentiment,theme
TK107342,ACC102405,2026-05-26,API/Integration,High,-0.25,"webhook events, keys, rotated"
TK110328,ACC103402,2026-04-18,Data Accuracy,Medium,-0.0762,"don match, match, don"
TK114992,ACC104947,2026-05-06,Reporting,Medium,0.0,"schedule, report times, generation"
TK108466,ACC102798,2026-05-06,UI/Usability,Low,-0.2482,"schedule, report times, generation"
TK110347,ACC103408,2026-07-02,Data Accuracy,High,0.3182,"morning, recon job, flagged"
TK102921,ACC100961,2026-05-22,Reporting,Medium,0.0772,"missing, missing columns, columns"
TK102021,ACC100652,2026-06-29,Settlement,High,-0.7269,"failed, settle, pending"
TK114483,ACC104775,2026-07-04,Performance,High,-0.7096,"schedule, report times, generation"
TK108221,ACC102719,2026-06-09,Reconciliation,Critical,-0.3818,"morning, recon job, flagged"
TK110360,ACC103414,2026-06-23,Reporting,Medium,0.5499,"schedule, report times, generation"
TK113978,ACC104602,2026-04-30,Onboarding,Medium,0.0,"schedule, report times, generation"
TK108413,ACC102781,2026-05-26,Onboarding,Low,-0.4588,"schedule, report times, generation"
TK109191,ACC103025,2026-06-01,Reconciliation,Critical,0.1779,"don match, match, don"
TK111503,ACC103785,2026-06-20,Reconciliation,High,0.25,"morning, recon job, flagged"
TK103800,ACC101245,2026-05-07,Settlement,High,0.2023,"window yesterday, cutoff, window"
TK110564,ACC103484,2026-05-30,Data Accuracy,Low,0.3818,"morning, recon job, flagged"
TK103059,ACC101005,2026-07-03,Reporting,High,-0.1779,"schedule, report times, generation"
TK108839,ACC102917,2026-05-18,Settlement,High,0.0258,"window yesterday, cutoff, window"
TK108480,ACC102800,2026-05-04,Reconciliation,High,0.3182,"morning, recon job, flagged"
TK105723,ACC101854,2026-07-03,Settlement,High,-0.4404,"window yesterday, cutoff, window"
TK110919,ACC103597,2026-07-07,Settlement,High,-0.4184,"moderate impact, moderate, like fixed"
TK101006,ACC100318,2026-07-09,Access/Permissions,Medium,-0.0762,"morning, recon job, flagged"
TK100251,ACC100076,2026-04-23,Onboarding,Medium,0.3612,"moderate impact, moderate, like fixed"
TK102319,ACC100750,2026-07-07,Performance,Medium,0.0772,"moderate impact, moderate, like fixed"
TK107093,ACC102308,2026-05-26,Settlement,Medium,0.6124,"window yesterday, cutoff, window"
TK104202,ACC101384,2026-05-22,Data Accuracy,Low,0.5574,"corporate action, corporate, wrong corporate"
TK113783,ACC104542,2026-07-10,Onboarding,Low,-0.296,"schedule, report times, generation"
TK107556,ACC102489,2026-06-02,Performance,Low,-0.2732,"schedule, report times, generation"
TK100339,ACC100104,2026-07-06,Reporting,Medium,0.6652,"missing, missing columns, columns"
TK111268,ACC103715,2026-05-22,API/Integration,Critical,-0.4939,"schedule, report times, generation"
TK112024,ACC103957,2026-05-16,Performance,High,0.0,"schedule, report times, generation"
TK103680,ACC101205,2026-06-03,Reconciliation,Medium,0.7227,"don match, match, don"
TK105860,ACC101891,2026-05-02,Reconciliation,High,0.5106,"morning, recon job, flagged"
TK104921,ACC101614,2026-05-15,Settlement,High,-0.7184,"failed, settle, pending"
TK113291,ACC104381,2026-06-19,Reconciliation,Critical,0.128,"don match, match, don"
TK105711,ACC101851,2026-04-25,Settlement,High,-0.3578,"moderate impact, moderate, like fixed"
TK111020,ACC103630,2026-06-05,Performance,Critical,-0.3182,"seconds load, takes 30, load market"
TK111759,ACC103869,2026-04-30,Settlement,High,-0.2225,"moderate impact, moderate, like fixed"
TK111840,ACC103892,2026-06-28,Reporting,High,0.4588,"schedule, report times, generation"
TK108262,ACC102734,2026-06-06,API/Integration,Low,-0.2023,"webhook events, keys, rotated"
TK100902,ACC100282,2026-06-26,Access/Permissions,High,0.3389,"morning, recon job, flagged"
TK109251,ACC103048,2026-04-29,Performance,High,-0.296,"schedule, report times, generation"
TK110337,ACC103406,2026-06-04,Reporting,Medium,-0.0762,"schedule, report times, generation"
TK104333,ACC101425,2026-06-11,Reconciliation,High,0.25,"don match, match, don"
TK107930,ACC102619,2026-05-09,Settlement,Critical,-0.296,"window yesterday, cutoff, window"
TK100903,ACC100282,2026-06-02,Performance,High,0.1531,"seconds load, takes 30, load market"
TK105066,ACC101656,2026-05-12,Settlement,High,0.0258,"window yesterday, cutoff, window"
TK107087,ACC102306,2026-04-23,Reconciliation,High,-0.1779,"morning, recon job, flagged"
TK108729,ACC102883,2026-07-03,Settlement,Medium,-0.4215,"failed, settle, pending"
TK101225,ACC100395,2026-07-08,Onboarding,High,0.0,"schedule, report times, generation"
TK114574,ACC104808,2026-04-23,Reconciliation,High,0.4019,"morning, recon job, flagged"
TK106345,ACC102060,2026-05-04,Billing,High,0.5267,"morning, recon job, flagged"
TK105194,ACC101696,2026-05-08,Billing,Medium,-0.0762,"morning, recon job, flagged"
TK101803,ACC100583,2026-07-11,Reconciliation,High,-0.25,"morning, recon job, flagged"
TK101373,ACC100440,2026-05-22,API/Integration,Medium,-0.2023,"webhook events, keys, rotated"
TK104106,ACC101350,2026-06-24,Onboarding,Medium,-0.0762,"schedule, report times, generation"
TK113012,ACC104286,2026-05-07,API/Integration,High,-0.3818,"overnight batch, batch, overnight"
TK106729,ACC102189,2026-07-11,Reconciliation,Low,0.3182,"morning, recon job, flagged"
TK114376,ACC104736,2026-04-21,Reporting,High,0.0258,"missing, missing columns, columns"
TK104526,ACC101486,2026-06-04,Billing,High,-0.1779,"morning, recon job, flagged"
TK109782,ACC103225,2026-05-06,Settlement,Critical,0.0516,"window yesterday, cutoff, window"
TK106438,ACC102094,2026-06-23,Data Accuracy,High,-0.1779,"don match, match, don"
TK111584,ACC103811,2026-06-08,Billing,Medium,0.5499,"morning, recon job, flagged"
TK110739,ACC103534,2026-05-06,Settlement,High,-0.3578,"moderate impact, moderate, like fixed"
TK111462,ACC103768,2026-06-28,Access/Permissions,Medium,0.4017,"morning, recon job, flagged"
TK112431,ACC104082,2026-07-01,Performance,High,0.0,"schedule, report times, generation"
TK108810,ACC102913,2026-06-25,UI/Usability,Low,0.503,"morning, recon job, flagged"
TK107958,ACC102629,2026-06-02,Reconciliation,Medium,0.3612,"don match, match, don"
TK113672,ACC104504,2026-06-24,Performance,High,0.0,"seconds load, takes 30, load market"
TK113151,ACC104334,2026-07-15,Data Accuracy,Critical,0.34,"morning, recon job, flagged"
TK103820,ACC101251,2026-05-11,Reporting,High,0.7184,"exported, exported report, figures"
TK108270,ACC102737,2026-06-06,Reporting,Low,0.4588,"schedule, report times, generation"
TK105702,ACC101848,2026-04-25,Settlement,High,-0.4912,"moderate impact, moderate, like fixed"
TK111961,ACC103932,2026-05-06,Settlement,Low,-0.2732,"window yesterday, cutoff, window"
TK106794,ACC102211,2026-06-02,Performance,High,0.0,"schedule, report times, generation"
TK105933,ACC101918,2026-06-24,Performance,High,0.5574,"seconds load, takes 30, load market"
TK103429,ACC101123,2026-06-19,Data Accuracy,Critical,-0.3182,"morning, recon job, flagged"
TK101350,ACC100433,2026-06-09,Settlement,High,-0.3182,"failed, settle, pending"
TK109470,ACC103123,2026-05-24,API/Integration,Critical,-0.2263,"overnight batch, batch, overnight"
TK101768,ACC100569,2026-06-21,Reconciliation,Critical,-0.3182,"don match, match, don"
TK102360,ACC100765,2026-07-07,Settlement,Medium,0.2023,"window yesterday, cutoff, window"
TK112576,ACC104132,2026-05-25,Billing,Critical,-0.1027,"schedule, report times, generation"
TK105909,ACC101906,2026-07-07,Access/Permissions,Medium,0.2153,"morning, recon job, flagged"
TK105331,ACC101740,2026-04-25,Reconciliation,Critical,-0.3182,"morning, recon job, flagged"
TK103437,ACC101125,2026-05-12,Data Accuracy,Critical,0.1779,"morning, recon job, flagged"
TK112592,ACC104137,2026-05-14,Access/Permissions,High,0.049,"morning, recon job, flagged"
TK102876,ACC100943,2026-06-15,API/Integration,Medium,-0.2723,"overnight batch, batch, overnight"
TK114657,ACC104839,2026-06-29,Onboarding,Medium,0.5859,"moderate impact, moderate, like fixed"
TK109993,ACC103287,2026-05-18,Data Accuracy,Critical,0.4588,"morning, recon job, flagged"
TK107810,ACC102575,2026-06-28,API/Integration,Medium,-0.3498,"webhook events, keys, rotated"
TK111744,ACC103863,2026-05-25,Reconciliation,High,0.1779,"morning, recon job, flagged"
TK110605,ACC103494,2026-06-20,API/Integration,High,-0.34,"schedule, report times, generation"
TK111499,ACC103783,2026-04-23,Data Accuracy,Critical,-0.0258,"corporate action, corporate, wrong corporate"
TK103421,ACC101119,2026-07-02,Reconciliation,High,0.7184,"don match, match, don"
TK113086,ACC104315,2026-06-03,Onboarding,Low,-0.128,"don match, match, don"
TK109507,ACC103134,2026-05-24,Settlement,High,-0.4588,"failed, settle, pending"
TK106482,ACC102108,2026-05-02,Settlement,High,-0.296,"window yesterday, cutoff, window"
TK106717,ACC102185,2026-05-24,Reporting,Medium,0.128,"missing, missing columns, columns"
TK112569,ACC104130,2026-06-15,Access/Permissions,Low,-0.5122,"morning, recon job, flagged"
TK107506,ACC102470,2026-06-17,Reporting,High,0.1779,"exported, exported report, figures"
TK111270,ACC103715,2026-06-02,Access/Permissions,Critical,0.1027,"morning, recon job, flagged"
TK107981,ACC102638,2026-07-08,Performance,Critical,-0.5423,"schedule, report times, generation"
TK112884,ACC104238,2026-05-12,Reconciliation,High,-0.0387,"morning, recon job, flagged"
TK111901,ACC103911,2026-05-01,Settlement,High,-0.1779,"failed, settle, pending"
TK114348,ACC104728,2026-06-17,Settlement,High,0.6652,"window yesterday, cutoff, window"
TK113190,ACC104347,2026-07-11,Settlement,Critical,-0.7772,"moderate impact, moderate, like fixed"
TK108144,ACC102702,2026-06-23,Data Accuracy,Medium,0.1541,"corporate action, corporate, wrong corporate"
TK110752,ACC103539,2026-04-19,Access/Permissions,High,-0.0772,"morning, recon job, flagged"
TK108773,ACC102902,2026-07-02,Reporting,High,0.0,"exported, exported report, figures"
TK104684,ACC101536,2026-06-17,Settlement,High,-0.1531,"window yesterday, cutoff, window"
TK108925,ACC102946,2026-05-17,API/Integration,High,-0.1779,"schedule, report times, generation"
TK110628,ACC103500,2026-06-21,Settlement,Critical,-0.128,"window yesterday, cutoff, window"
TK111937,ACC103925,2026-06-17,Performance,High,0.4588,"seconds load, takes 30, load market"
TK108019,ACC102650,2026-07-07,Reporting,High,0.0,"exported, exported report, figures"
TK111161,ACC103679,2026-06-08,Access/Permissions,High,-0.4234,"morning, recon job, flagged"
TK109452,ACC103119,2026-06-18,Reconciliation,High,0.5106,"morning, recon job, flagged"
TK106822,ACC102219,2026-05-20,Reporting,Medium,0.3612,"moderate impact, moderate, like fixed"
TK107917,ACC102615,2026-05-17,Data Accuracy,Medium,0.7351,"don match, match, don"
TK109315,ACC103070,2026-06-07,Billing,High,0.5267,"morning, recon job, flagged"
TK100862,ACC100270,2026-06-19,Data Accuracy,High,0.6124,"don match, match, don"
TK109240,ACC103043,2026-04-25,API/Integration,High,0.0258,"overnight batch, batch, overnight"
TK111784,ACC103877,2026-06-22,Billing,Medium,0.8573,"morning, recon job, flagged"
TK102543,ACC100824,2026-07-01,Performance,Critical,0.1531,"seconds load, takes 30, load market"
TK107632,ACC102517,2026-06-20,API/Integration,High,-0.0258,"schedule, report times, generation"
TK108852,ACC102921,2026-06-10,Performance,High,0.3182,"seconds load, takes 30, load market"
TK108520,ACC102813,2026-04-27,Billing,Medium,0.7684,"moderate impact, moderate, like fixed"
TK103011,ACC100984,2026-05-20,Billing,Low,-0.0467,"schedule, report times, generation"
TK101121,ACC100356,2026-05-02,Reconciliation,Critical,0.0772,"morning, recon job, flagged"
TK112847,ACC104228,2026-05-20,API/Integration,High,-0.0258,"schedule, report times, generation"
TK109000,ACC102968,2026-07-12,Access/Permissions,Critical,-0.2732,"morning, recon job, flagged"
TK112882,ACC104238,2026-05-16,Settlement,Critical,-0.7418,"moderate impact, moderate, like fixed"
TK104013,ACC101316,2026-07-10,Settlement,Critical,-0.2023,"window yesterday, cutoff, window"
TK101683,ACC100543,2026-04-20,Onboarding,Low,-0.296,"schedule, report times, generation"
TK104878,ACC101599,2026-06-19,API/Integration,Critical,-0.2263,"overnight batch, batch, overnight"
TK103128,ACC101025,2026-04-19,Reporting,High,0.0,"schedule, report times, generation"
